MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz,taz_seq,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
16608,111,37,40,18,16,35,4,10,36,26,3718,253,255,2201,75,1,San Francisco
11190,77,26,28,12,11,24,3,7,25,18,735,253,255,2201,75,1,San Francisco
16093,143,39,47,26,31,56,6,13,39,29,3427,246,248,2201,75,1,San Francisco
10766,51,14,17,9,11,19,2,5,14,11,461,246,248,2201,75,1,San Francisco
15918,99,27,33,18,21,39,4,9,27,20,3340,246,248,2201,75,1,San Francisco
15916,106,29,34,20,23,41,4,10,29,22,3338,246,248,2201,75,1,San Francisco
10335,116,37,39,20,20,43,4,9,37,23,208,250,252,2201,75,1,San Francisco
15507,122,38,42,21,21,46,4,10,38,24,3123,250,252,2201,75,1,San Francisco
10837,130,41,44,23,22,48,4,11,41,26,499,250,252,2201,75,1,San Francisco
10838,108,34,37,19,18,40,3,9,34,22,500,250,252,2201,75,1,San Francisco
10764,134,55,35,20,24,39,5,9,55,26,459,247,249,2201,75,1,San Francisco
17371,120,49,31,18,22,35,4,8,50,23,4138,247,249,2201,75,1,San Francisco
11065,74,30,19,11,14,22,3,5,30,14,648,247,249,2201,75,1,San Francisco
11191,112,47,29,16,20,33,4,8,45,22,736,247,249,2201,75,1,San Francisco
16610,35,9,13,6,7,15,1,3,9,7,3720,246,248,2201,75,1,San Francisco
16091,114,31,38,21,24,44,5,10,31,24,3425,246,248,2201,75,1,San Francisco
15917,92,32,31,13,16,31,3,6,32,20,3339,248,250,2201,75,1,San Francisco
10767,53,19,18,7,9,18,2,4,18,11,462,248,250,2201,75,1,San Francisco
10768,117,41,40,16,20,40,4,8,40,25,463,248,250,2201,75,1,San Francisco
17146,140,48,48,20,24,49,4,9,48,30,4028,248,250,2201,75,1,San Francisco
15915,108,44,28,16,20,32,4,8,43,21,3337,247,249,2201,75,1,San Francisco
17145,115,40,39,16,20,39,3,8,40,25,4027,248,250,2201,75,1,San Francisco
14962,93,38,24,14,17,27,3,7,38,18,2811,247,249,2201,75,1,San Francisco
12515,88,31,30,12,15,30,3,6,30,19,1490,248,250,2201,75,1,San Francisco
16092,168,58,57,24,29,57,5,11,59,36,3426,248,250,2201,75,1,San Francisco
17157,72,23,28,11,10,27,2,4,23,16,4037,471,481,2201,75,1,San Francisco
10030,188,65,64,26,33,64,6,13,64,41,17,248,250,2201,75,1,San Francisco
16340,170,60,61,26,23,39,5,10,60,56,3569,473,483,2201,75,1,San Francisco
17148,113,40,40,17,16,26,4,6,40,37,4030,473,483,2201,75,1,San Francisco
15156,125,40,49,19,17,46,3,8,40,28,2913,471,481,2201,75,1,San Francisco
16341,100,35,36,15,14,23,3,6,35,33,3570,473,483,2201,75,1,San Francisco
11915,52,18,19,8,7,12,2,3,18,17,1141,473,483,2201,75,1,San Francisco
16383,66,23,24,10,9,15,2,4,23,22,3596,473,483,2201,75,1,San Francisco
11966,57,20,20,9,8,13,2,3,20,19,1178,473,483,2201,75,1,San Francisco
10957,32,14,10,4,4,7,1,1,13,10,587,474,484,2201,75,1,San Francisco
10765,52,17,20,8,7,19,1,3,17,12,460,471,481,2201,75,1,San Francisco
14895,81,26,32,12,11,30,2,5,26,18,2783,471,481,2201,75,1,San Francisco
11629,49,16,19,7,7,18,1,3,16,11,988,471,481,2201,75,1,San Francisco
15154,39,13,14,7,5,13,1,3,14,8,2912,472,482,2201,75,1,San Francisco
11628,42,14,15,8,5,14,1,3,15,9,987,472,482,2201,75,1,San Francisco
11064,100,34,35,19,12,35,2,7,35,21,647,472,482,2201,75,1,San Francisco
11630,46,16,16,9,5,17,1,3,16,9,989,472,482,2201,75,1,San Francisco
10835,68,23,24,13,8,24,2,4,24,14,498,472,482,2201,75,1,San Francisco
14951,112,35,41,19,17,45,3,13,35,16,2805,243,245,2201,75,1,San Francisco
14952,126,40,46,21,19,51,3,14,40,18,2806,243,245,2201,75,1,San Francisco
16249,140,44,51,24,21,56,4,16,44,20,3509,243,245,2201,75,1,San Francisco
14128,163,51,60,28,24,67,4,18,51,23,2363,243,245,2201,75,1,San Francisco
16250,155,49,57,26,23,62,4,18,49,22,3510,243,245,2201,75,1,San Francisco
14605,105,37,36,17,15,39,5,10,37,14,2624,528,538,2201,75,1,San Francisco
14049,74,23,28,12,11,31,2,8,23,10,2321,243,245,2201,75,1,San Francisco
16256,123,42,41,22,18,50,6,9,42,16,3511,529,539,2201,75,1,San Francisco
13785,77,19,30,10,18,44,1,7,19,6,2177,245,247,2201,75,1,San Francisco
14950,31,8,12,4,7,18,0,3,8,2,2804,245,247,2201,75,1,San Francisco
14606,65,24,22,10,9,24,3,6,23,9,2625,528,538,2201,75,1,San Francisco
16257,120,41,40,21,18,48,6,9,41,16,3512,529,539,2201,75,1,San Francisco
15305,94,32,31,17,14,38,5,7,32,12,2996,529,539,2201,75,1,San Francisco
14053,120,41,40,21,18,48,6,9,41,16,2322,529,539,2201,75,1,San Francisco
14957,137,48,45,24,20,55,7,10,47,18,2807,529,539,2201,75,1,San Francisco
15307,103,36,34,18,15,43,5,7,35,13,2997,529,539,2201,75,1,San Francisco
14054,108,37,36,19,16,44,5,8,37,14,2323,529,539,2201,75,1,San Francisco
16258,165,58,54,29,24,66,8,12,57,22,3513,529,539,2201,75,1,San Francisco
14830,29,7,9,5,8,18,1,2,7,1,2739,244,246,2201,75,1,San Francisco
15304,54,13,17,9,15,35,1,3,13,2,2995,244,246,2201,75,1,San Francisco
10380,474,75,119,121,159,190,18,34,75,157,233,284,286,2201,75,1,San Francisco
14958,96,30,32,15,19,40,3,10,30,13,2808,532,542,2201,75,1,San Francisco
15309,110,34,37,18,21,47,3,11,34,15,2998,532,542,2201,75,1,San Francisco
16259,114,36,40,15,23,52,3,11,36,12,3514,531,541,2201,75,1,San Francisco
13715,93,29,33,12,19,43,2,9,29,10,2144,531,541,2201,75,1,San Francisco
14782,125,39,42,20,24,53,3,13,39,17,2716,532,542,2201,75,1,San Francisco
16265,134,43,47,24,20,47,4,13,43,27,3519,530,540,2201,75,1,San Francisco
13718,107,33,36,17,21,45,3,11,33,15,2146,532,542,2201,75,1,San Francisco
14780,102,32,36,13,21,47,2,10,32,11,2714,531,541,2201,75,1,San Francisco
13717,74,23,26,10,15,34,2,7,23,8,2145,531,541,2201,75,1,San Francisco
13714,54,13,17,9,15,35,1,3,13,2,2143,244,246,2201,75,1,San Francisco
14781,19,5,6,3,5,11,1,1,5,1,2715,244,246,2201,75,1,San Francisco
12211,94,30,33,17,14,33,3,9,30,19,1323,530,540,2201,75,1,San Francisco
14056,80,25,27,13,15,34,2,8,25,11,2324,532,542,2201,75,1,San Francisco
14783,83,26,29,11,17,38,2,8,26,9,2717,531,541,2201,75,1,San Francisco
12212,71,24,22,12,13,24,2,7,24,14,1324,220,222,2201,75,1,San Francisco
15310,81,29,27,12,13,28,3,7,29,14,2999,219,221,2201,75,1,San Francisco
15246,146,54,49,20,23,58,2,9,55,22,2963,218,220,2201,75,1,San Francisco
14961,123,46,41,17,19,49,2,8,46,18,2810,218,220,2201,75,1,San Francisco
13719,63,15,19,11,18,41,2,3,15,2,2147,244,246,2201,75,1,San Francisco
11280,21,8,7,3,3,9,0,1,8,3,788,218,220,2201,75,1,San Francisco
11419,54,9,14,14,17,21,2,4,9,18,868,284,286,2201,75,1,San Francisco
10527,135,45,43,22,25,45,5,13,45,27,330,220,222,2201,75,1,San Francisco
10266,109,37,34,18,20,36,4,10,38,21,161,220,222,2201,75,1,San Francisco
16267,170,60,57,25,28,59,6,15,60,30,3520,219,221,2201,75,1,San Francisco
14634,87,33,29,12,13,35,1,5,33,13,2642,218,220,2201,75,1,San Francisco
15456,82,30,27,12,13,29,3,7,29,14,3089,219,221,2201,75,1,San Francisco
14709,113,42,38,15,18,45,2,7,42,17,2688,218,220,2201,75,1,San Francisco
15992,65,22,20,11,12,22,2,6,22,13,3385,220,222,2201,75,1,San Francisco
15212,26,9,8,4,5,9,1,2,9,5,2948,220,222,2201,75,1,San Francisco
10413,121,43,40,18,20,42,4,10,44,21,250,219,221,2201,75,1,San Francisco
15687,100,36,33,15,16,35,3,9,35,18,3220,219,221,2201,75,1,San Francisco
14710,76,29,25,10,12,30,1,5,29,11,2689,218,220,2201,75,1,San Francisco
15735,99,38,33,13,15,39,2,6,37,15,3243,218,220,2201,75,1,San Francisco
15158,63,22,22,9,10,23,3,5,22,10,2914,221,223,2201,75,1,San Francisco
10706,100,34,36,14,16,38,4,8,34,16,426,221,223,2201,75,1,San Francisco
15213,15,6,5,2,2,6,1,1,5,2,2949,221,223,2201,75,1,San Francisco
10414,120,41,43,17,19,46,5,9,41,19,251,221,223,2201,75,1,San Francisco
15737,104,36,37,15,16,39,4,8,36,17,3245,221,223,2201,75,1,San Francisco
10334,119,40,42,19,18,35,5,9,41,29,207,214,216,2201,75,1,San Francisco
16609,99,33,35,16,15,29,4,8,34,24,3719,214,216,2201,75,1,San Francisco
16181,94,32,33,15,14,28,4,7,32,23,3471,214,216,2201,75,1,San Francisco
10762,132,45,50,18,19,50,5,9,45,23,457,215,217,2201,75,1,San Francisco
14635,128,44,46,18,20,48,5,10,44,21,2643,221,223,2201,75,1,San Francisco
16748,85,29,31,12,13,32,3,7,29,14,3810,221,223,2201,75,1,San Francisco
15736,112,38,41,16,17,43,4,9,38,18,3244,221,223,2201,75,1,San Francisco
16749,85,29,33,11,12,32,3,6,29,15,3811,215,217,2201,75,1,San Francisco
14392,87,29,33,12,13,34,3,6,29,15,2518,215,217,2201,75,1,San Francisco
16750,60,20,23,8,9,24,2,4,20,10,3812,215,217,2201,75,1,San Francisco
13142,71,25,23,12,11,33,1,4,25,8,1855,216,218,2201,75,1,San Francisco
11569,172,27,43,44,58,69,7,12,27,57,950,284,286,2201,75,1,San Francisco
17144,89,30,31,14,14,26,4,7,30,22,4026,214,216,2201,75,1,San Francisco
10763,118,40,41,19,18,35,5,9,40,29,458,214,216,2201,75,1,San Francisco
16089,147,61,51,18,17,42,5,8,60,32,3424,217,219,2201,75,1,San Francisco
16183,155,64,54,19,18,44,5,9,64,33,3472,217,219,2201,75,1,San Francisco
11192,98,33,34,16,15,29,4,8,33,24,737,214,216,2201,75,1,San Francisco
16052,102,37,34,15,16,42,3,6,37,14,3407,467,477,2201,75,1,San Francisco
15632,226,92,79,28,27,65,7,12,93,49,3185,217,219,2201,75,1,San Francisco
15633,171,63,58,24,26,71,4,10,62,24,3186,467,477,2201,75,1,San Francisco
11746,78,28,25,13,12,37,1,4,27,9,1050,216,218,2201,75,1,San Francisco
15125,82,28,27,14,13,39,1,4,29,9,2893,216,218,2201,75,1,San Francisco
15124,50,18,16,8,8,22,1,3,18,6,2892,216,218,2201,75,1,San Francisco
16129,73,25,24,12,12,34,1,4,26,8,3445,216,218,2201,75,1,San Francisco
15126,65,25,23,6,11,28,1,2,25,9,2894,428,437,2201,75,1,San Francisco
11747,57,22,21,5,9,24,1,2,22,8,1051,428,437,2201,75,1,San Francisco
10359,73,18,24,14,17,45,1,3,18,6,223,432,441,2201,75,1,San Francisco
12223,84,31,28,12,13,34,2,5,31,12,1332,467,477,2201,75,1,San Francisco
16627,59,22,20,8,9,25,2,3,21,8,3732,467,477,2201,75,1,San Francisco
11666,77,28,26,11,12,31,2,5,28,11,1009,467,477,2201,75,1,San Francisco
12103,60,22,20,9,9,24,2,4,22,8,1253,467,477,2201,75,1,San Francisco
16628,70,25,24,10,11,29,2,4,25,10,3733,467,477,2201,75,1,San Francisco
15569,75,27,25,11,12,32,2,4,27,10,3150,467,477,2201,75,1,San Francisco
12104,119,53,42,9,15,44,1,4,54,16,1254,465,475,2201,75,1,San Francisco
11216,94,36,34,8,16,39,2,4,36,13,753,428,437,2201,75,1,San Francisco
16572,76,29,27,7,13,33,1,3,29,10,3697,428,437,2201,75,1,San Francisco
16050,29,11,10,3,5,12,1,1,11,4,3405,428,437,2201,75,1,San Francisco
14851,0,0,0,0,0,0,0,0,0,0,2754,428,437,2201,75,1,San Francisco
10791,38,21,11,3,3,11,0,1,21,5,478,433,442,2201,75,1,San Francisco
16051,82,21,26,16,19,50,1,3,21,7,3406,432,441,2201,75,1,San Francisco
16053,71,18,22,14,17,43,1,3,18,6,3408,432,441,2201,75,1,San Francisco
11917,165,70,65,17,13,43,2,5,69,46,1143,513,523,2201,75,1,San Francisco
12222,142,60,56,15,11,37,2,5,58,40,1331,513,523,2201,75,1,San Francisco
14371,122,43,49,18,12,29,3,6,43,41,2510,514,524,2201,75,1,San Francisco
16348,119,42,48,18,11,29,3,5,42,40,3572,514,524,2201,75,1,San Francisco
13189,0,0,0,0,0,0,0,0,0,0,1883,632,649,2201,75,1,San Francisco
10958,49,21,19,5,4,13,1,2,19,14,588,513,523,2201,75,1,San Francisco
10899,64,27,20,9,8,14,1,2,28,19,548,474,484,2201,75,1,San Francisco
10900,54,23,21,6,4,14,1,2,22,15,549,513,523,2201,75,1,San Francisco
10901,75,31,30,8,6,19,1,2,32,21,550,513,523,2201,75,1,San Francisco
16739,66,23,27,10,6,16,2,3,23,22,3801,514,524,2201,75,1,San Francisco
11969,105,37,43,15,10,25,3,5,37,35,1180,514,524,2201,75,1,San Francisco
15932,40,14,14,7,5,14,1,3,14,8,3348,472,482,2201,75,1,San Francisco
11916,96,29,36,18,13,29,4,5,29,29,1142,633,650,2201,75,1,San Francisco
13186,56,17,22,10,7,17,2,3,17,17,1881,498,508,2201,75,1,San Francisco
12514,78,24,29,15,10,23,3,4,24,24,1489,498,508,2201,75,1,San Francisco
10959,70,21,27,13,9,21,3,4,21,21,589,633,650,2201,75,1,San Francisco
13185,84,26,31,16,11,25,3,5,26,25,1880,498,508,2201,75,1,San Francisco
10834,86,26,33,16,11,26,3,5,26,26,497,498,508,2201,75,1,San Francisco
14372,117,42,47,17,11,28,3,5,42,39,2511,514,524,2201,75,1,San Francisco
12668,110,39,44,16,11,27,3,5,38,37,1581,514,524,2201,75,1,San Francisco
12221,333,142,102,47,42,71,7,12,143,100,1330,474,484,2201,75,1,San Francisco
14832,0,0,0,0,0,0,0,0,0,0,2740,515,525,2201,75,1,San Francisco
14374,95,35,35,16,9,22,2,6,34,31,2512,515,525,2201,75,1,San Francisco
12670,107,39,40,18,10,25,2,7,38,35,1582,515,525,2201,75,1,San Francisco
10961,93,31,35,14,13,22,2,5,31,33,590,499,509,2201,75,1,San Francisco
12665,68,21,25,13,9,20,2,4,21,21,1580,633,650,2201,75,1,San Francisco
16346,58,25,20,7,6,18,1,2,25,12,3571,500,510,2201,75,1,San Francisco
12517,0,0,0,0,0,0,0,0,0,0,1492,500,510,2201,75,1,San Francisco
14200,0,0,0,0,0,0,0,0,0,0,2401,632,649,2201,75,1,San Francisco
14925,11,4,4,2,1,2,0,1,4,4,2790,511,521,2201,75,1,San Francisco
10962,109,40,41,18,10,25,2,7,39,36,591,515,525,2201,75,1,San Francisco
16740,100,36,38,17,9,23,2,6,36,33,3802,515,525,2201,75,1,San Francisco
16349,123,45,46,20,12,28,2,8,45,40,3573,515,525,2201,75,1,San Francisco
11920,156,52,60,23,21,37,4,9,52,54,1144,499,509,2201,75,1,San Francisco
14799,127,49,42,19,17,28,4,11,48,36,2726,516,526,2201,75,1,San Francisco
14753,127,42,49,19,17,30,3,7,42,45,2704,499,509,2201,75,1,San Francisco
14754,85,33,28,13,11,18,2,7,34,24,2705,516,526,2201,75,1,San Francisco
16412,98,38,32,15,13,21,3,8,38,28,3613,516,526,2201,75,1,San Francisco
12523,194,75,64,29,26,42,6,17,74,55,1496,516,526,2201,75,1,San Francisco
14133,88,34,29,13,12,19,3,8,33,25,2366,516,526,2201,75,1,San Francisco
14132,94,36,31,14,13,20,3,8,36,27,2365,516,526,2201,75,1,San Francisco
12522,109,36,42,16,15,26,3,6,36,38,1495,499,509,2201,75,1,San Francisco
10902,92,41,31,10,10,28,2,4,39,19,551,500,510,2201,75,1,San Francisco
14924,96,32,37,14,13,23,2,5,32,34,2789,499,509,2201,75,1,San Francisco
16411,97,32,38,14,13,23,2,5,32,35,3612,499,509,2201,75,1,San Francisco
16408,43,18,15,5,5,13,1,2,18,9,3609,500,510,2201,75,1,San Francisco
16409,49,21,17,6,5,15,1,2,21,10,3610,500,510,2201,75,1,San Francisco
16410,102,34,39,15,14,24,3,6,34,35,3611,499,509,2201,75,1,San Francisco
14131,94,31,36,14,13,22,2,5,31,34,2364,499,509,2201,75,1,San Francisco
14795,87,37,30,10,10,26,1,4,38,18,2722,500,510,2201,75,1,San Francisco
13703,41,17,14,5,5,12,1,2,18,8,2138,500,510,2201,75,1,San Francisco
14756,139,55,49,20,15,26,3,7,54,49,2707,511,521,2201,75,1,San Francisco
12524,116,46,41,17,12,21,3,6,45,41,1497,511,521,2201,75,1,San Francisco
14201,135,63,44,14,14,21,3,6,64,41,2402,373,380,2201,75,1,San Francisco
14800,101,39,36,15,11,19,2,5,40,35,2727,511,521,2201,75,1,San Francisco
14755,122,48,43,18,13,22,3,6,48,43,2706,511,521,2201,75,1,San Francisco
14805,72,29,25,10,8,13,2,4,28,25,2731,511,521,2201,75,1,San Francisco
16867,128,50,45,19,14,24,3,6,50,45,3869,511,521,2201,75,1,San Francisco
12525,88,35,31,13,9,16,2,4,35,31,1498,511,521,2201,75,1,San Francisco
16866,120,56,39,12,13,19,3,6,55,37,3868,373,380,2201,75,1,San Francisco
12521,224,104,73,23,24,35,5,10,106,68,1494,373,380,2201,75,1,San Francisco
13705,112,45,42,12,13,20,3,5,45,39,2140,372,379,2201,75,1,San Francisco
13571,35,15,12,4,4,11,1,1,15,7,2071,500,510,2201,75,1,San Francisco
14923,145,57,50,19,19,33,4,20,58,30,2788,370,377,2201,75,1,San Francisco
14797,147,58,51,19,19,34,4,21,58,30,2724,370,377,2201,75,1,San Francisco
14798,87,35,33,9,10,15,2,4,36,30,2725,372,379,2201,75,1,San Francisco
10143,150,62,56,15,17,26,4,7,61,52,75,372,379,2201,75,1,San Francisco
